#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S2G1|ELYS_CHATD   -          elys                 -            3.9e-27   92.4   0.0   4.9e-27   92.1   0.0   1.0   1   0   0   1   1   1   1 Protein ELYS OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=ELYS PE=1 SV=1
tr|G0SCB1|G0SCB1_CHATD -          elys                 -                2.3    3.6  17.7       2.5    3.4  17.7   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056590 PE=4 SV=1
tr|G0SAD7|G0SAD7_CHATD -          elys                 -                4.8    2.5  39.7         7    2.0  39.7   1.1   1   0   0   1   1   1   0 DNA-dependent RNA polymerase I subunit a43-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041910 PE=3 SV=1
tr|G0SHF4|G0SHF4_CHATD -          elys                 -                7.2    1.9  28.8        10    1.4  28.8   1.0   1   0   0   1   1   1   0 DNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069830 PE=3 SV=1
tr|G0S9V9|G0S9V9_CHATD -          elys                 -                7.4    1.9  21.7        10    1.4  21.7   1.2   1   0   0   1   1   1   0 ATP-dependent RNA helicase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047360 PE=3 SV=1
tr|G0S643|G0S643_CHATD -          elys                 -                7.5    1.9  26.4        10    1.5  26.4   1.1   1   0   0   1   1   1   0 DNA replication licensing factor MCM3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034110 PE=3 SV=1
tr|G0S386|G0S386_CHATD -          elys                 -                  9    1.6  28.8        11    1.4  28.8   1.0   1   0   0   1   1   1   0 EVE domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020080 PE=4 SV=1
tr|G0SC17|G0SC17_CHATD -          elys                 -                9.8    1.5  27.6        13    1.1  27.6   1.0   1   0   0   1   1   1   0 Histone deacetylase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0055570 PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/elys.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_unmasked/CTHE/elys.txt --cpu 8 hmm_profiles_from_msa/elys.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sat Sep 17 22:36:36 2022
# [ok]
