#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7F3|GLE1_CHATD   -          gle1                 -              4e-71  238.5  19.4     4e-59  198.9   0.0   3.0   2   1   1   3   3   3   3 mRNA export factor GLE1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=GLE1 PE=1 SV=1
tr|G0S514|G0S514_CHATD -          gle1                 -               0.17    8.7  21.7      0.24    8.2  21.7   1.1   1   0   0   1   1   1   0 Phosphoinositide phospholipase C OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023720 PE=3 SV=1
tr|G0RYD6|G0RYD6_CHATD -          gle1                 -               0.18    8.7  47.3    0.0036   14.3  38.8   2.0   2   0   0   2   2   2   0 Putative ribosome associated protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006310 PE=1 SV=1
tr|G0S754|G0S754_CHATD -          gle1                 -               0.23    8.3  12.8      0.33    7.8  12.8   1.2   1   0   0   1   1   1   0 Putative pre-mRNA splicing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027480 PE=3 SV=1
tr|G0SGY6|G0SGY6_CHATD -          gle1                 -               0.25    8.2  30.2     0.087    9.7  21.0   2.3   2   0   0   2   2   2   0 RING-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0068020 PE=4 SV=1
tr|G0SGG6|G0SGG6_CHATD -          gle1                 -               0.26    8.1  19.8     0.035   11.0  13.3   2.0   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066260 PE=4 SV=1
tr|G0S8D4|G0S8D4_CHATD -          gle1                 -               0.26    8.1  17.1      0.35    7.7  17.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021350 PE=4 SV=1
tr|G0SCP3|G0SCP3_CHATD -          gle1                 -               0.27    8.1  23.2       0.3    7.9  23.2   1.1   1   0   0   1   1   1   0 rRNA-processing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057940 PE=3 SV=1
tr|G0SDC7|G0SDC7_CHATD -          gle1                 -                0.3    7.9  24.7      0.63    6.9  24.7   1.5   1   0   0   1   1   1   0 Altered inheritance of mitochondria protein 24, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051310 PE=3 SV=1
tr|G0S6J8|G0S6J8_CHATD -          gle1                 -               0.32    7.8  19.4      0.46    7.3  19.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026470 PE=4 SV=1
tr|G0SGL3|G0SGL3_CHATD -          gle1                 -               0.33    7.8  18.0      0.43    7.4  18.0   1.1   1   0   0   1   1   1   0 tRNA N(3)-methylcytidine methyltransferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066740 PE=3 SV=1
tr|G0S9B7|G0S9B7_CHATD -          gle1                 -               0.38    7.6   6.0      0.43    7.4   6.0   1.1   1   0   0   1   1   1   0 Pre-mRNA splicing factor (Srp1)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045250 PE=4 SV=1
tr|G0RYN0|G0RYN0_CHATD -          gle1                 -                0.4    7.5  20.1       0.8    6.5  20.1   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007270 PE=4 SV=1
tr|G0SGX0|G0SGX0_CHATD -          gle1                 -                0.5    7.2   6.8       0.7    6.7   6.8   1.1   1   0   0   1   1   1   0 Elongation factor 1-gamma-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067860 PE=3 SV=1
tr|G0S257|G0S257_CHATD -          gle1                 -                0.6    6.9  20.8      0.69    6.7  20.8   1.2   1   0   0   1   1   1   0 GrpE protein homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016060 PE=3 SV=1
tr|G0S1P9|G0S1P9_CHATD -          gle1                 -               0.73    6.6  17.0      0.83    6.5  17.0   1.1   1   0   0   1   1   1   0 60S ribosomal protein L24-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014380 PE=1 SV=1
tr|G0RZV7|G0RZV7_CHATD -          gle1                 -               0.77    6.6  22.3       1.5    5.6  22.3   1.4   1   0   0   1   1   1   0 Specific protease-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004370 PE=1 SV=1
tr|G0S0Y2|G0S0Y2_CHATD -          gle1                 -               0.88    6.4  16.9       1.4    5.7  16.9   1.2   1   0   0   1   1   1   0 UAS domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011650 PE=4 SV=1
tr|G0RYB4|G0RYB4_CHATD -          gle1                 -                  1    6.2  16.5       1.3    5.9  16.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006090 PE=4 SV=1
tr|G0S1S7|G0S1S7_CHATD -          gle1                 -                  1    6.2  12.0       1.8    5.3  12.0   1.3   1   0   0   1   1   1   0 Aspartate--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014660 PE=3 SV=1
tr|G0SAX4|G0SAX4_CHATD -          gle1                 -                1.1    6.0  20.7       1.5    5.6  20.7   1.0   1   0   0   1   1   1   0 HIG1 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048130 PE=3 SV=1
tr|G0S088|G0S088_CHATD -          gle1                 -                1.2    5.9  11.9       2.1    5.2  11.9   1.3   1   0   0   1   1   1   0 C3H1-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009160 PE=4 SV=1
tr|G0SEW5|G0SEW5_CHATD -          gle1                 -                1.3    5.8  26.1       1.9    5.3  26.1   1.2   1   0   0   1   1   1   0 Putative homeobox protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059940 PE=4 SV=1
tr|G0SFI9|G0SFI9_CHATD -          gle1                 -                1.3    5.8  34.2       1.8    5.3  34.2   1.1   1   0   0   1   1   1   0 Protein kinase domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071000 PE=4 SV=1
tr|G0S4Z2|G0S4Z2_CHATD -          gle1                 -                1.5    5.6  16.1       2.1    5.1  16.1   1.1   1   0   0   1   1   1   0 Lactamase_B domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032180 PE=3 SV=1
tr|G0SH12|G0SH12_CHATD -          gle1                 -                1.6    5.5  19.9       2.2    5.0  19.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0068300 PE=4 SV=1
tr|G0SHU3|G0SHU3_CHATD -          gle1                 -                1.7    5.4  47.1      0.65    6.8  13.1   2.1   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073380 PE=4 SV=1
tr|G0S3C9|G0S3C9_CHATD -          gle1                 -                1.7    5.4  34.5    0.0055   13.6  24.7   1.6   2   0   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020560 PE=3 SV=1
tr|G0RZC7|G0RZC7_CHATD -          gle1                 -                1.7    5.4  21.8       2.4    4.9  21.8   1.1   1   0   0   1   1   1   0 Kinetochore protein SPC25 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002500 PE=3 SV=1
tr|G0S8W7|G0S8W7_CHATD -          gle1                 -                1.8    5.3  12.3       2.7    4.7  12.3   1.2   1   0   0   1   1   1   0 Peroxisomal membrane protein PEX14 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043690 PE=3 SV=1
tr|G0S5D0|G0S5D0_CHATD -          gle1                 -                1.9    5.3  44.7       3.2    4.5  44.7   1.3   1   0   0   1   1   1   0 Pre-mRNA-splicing factor 18 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024370 PE=3 SV=1
tr|G0RZC1|G0RZC1_CHATD -          gle1                 -                2.4    5.0  30.4       3.4    4.5  30.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002440 PE=4 SV=1
tr|G0S473|G0S473_CHATD -          gle1                 -                2.4    4.9  36.4       4.4    4.1  36.4   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030960 PE=4 SV=1
tr|G0SBN5|G0SBN5_CHATD -          gle1                 -                2.6    4.8  18.7       3.3    4.5  18.7   1.1   1   0   0   1   1   1   0 Tubulin-specific chaperone A OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054210 PE=3 SV=1
tr|G0S3K1|G0S3K1_CHATD -          gle1                 -                2.7    4.8  41.0       5.9    3.6  41.0   1.5   1   0   0   1   1   1   0 Calcium-dependent cysteine-type endopeptidase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021540 PE=3 SV=1
tr|G0RYH2|G0RYH2_CHATD -          gle1                 -                3.1    4.6  20.2       4.3    4.1  20.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006680 PE=4 SV=1
tr|G0SCN5|G0SCN5_CHATD -          gle1                 -                3.5    4.4  14.5       5.2    3.8  14.5   1.2   1   0   0   1   1   1   0 Putative peroxisome biosynthesis protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057860 PE=4 SV=1
tr|G0SEE7|G0SEE7_CHATD -          gle1                 -                3.5    4.4  41.8     0.026   11.4  17.8   2.2   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0063480 PE=4 SV=1
tr|G0S9E2|G0S9E2_CHATD -          gle1                 -                3.6    4.4  25.1       3.8    4.3  25.1   1.0   1   0   0   1   1   1   0 V-type proton ATPase subunit G OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045530 PE=3 SV=1
tr|G0SGU0|G0SGU0_CHATD -          gle1                 -                3.7    4.3  26.6       6.1    3.6  26.6   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067550 PE=4 SV=1
tr|G0S5V0|G0S5V0_CHATD -          gle1                 -                3.8    4.3  18.4       5.6    3.7  18.4   1.1   1   0   0   1   1   1   0 RNA recognition motif-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033710 PE=4 SV=1
tr|G0SDF4|G0SDF4_CHATD -          gle1                 -                4.1    4.2  44.6       5.8    3.7  44.6   1.1   1   0   0   1   1   1   0 OTU domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051590 PE=4 SV=1
tr|G0S0E2|G0S0E2_CHATD -          gle1                 -                4.1    4.2  15.2       5.8    3.7  15.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009700 PE=4 SV=1
tr|G0S6U1|G0S6U1_CHATD -          gle1                 -                4.3    4.1  16.8       6.1    3.6  16.8   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026870 PE=4 SV=1
tr|G0S7N6|G0S7N6_CHATD -          gle1                 -                4.5    4.0  56.2     0.037   10.9  20.1   2.2   2   0   0   2   2   2   0 Probable kinetochore protein NUF2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036970 PE=3 SV=1
tr|G0S8Z0|G0S8Z0_CHATD -          gle1                 -                5.2    3.8  44.5     0.025   11.5  35.4   1.6   2   0   0   2   2   1   0 SP-RING-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043940 PE=3 SV=1
tr|G0SA26|G0SA26_CHATD -          gle1                 -                5.3    3.8  21.7       5.8    3.7  21.7   1.0   1   0   0   1   1   1   0 UCR_hinge domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040770 PE=3 SV=1
tr|G0SCB1|G0SCB1_CHATD -          gle1                 -                5.9    3.7  31.1       6.5    3.5  31.1   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056590 PE=4 SV=1
tr|G0S803|G0S803_CHATD -          gle1                 -                5.9    3.6  43.3      0.14    9.0  31.3   2.7   3   0   0   3   3   3   0 SUN domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037630 PE=4 SV=1
tr|G0SC95|G0SC95_CHATD -          gle1                 -                6.1    3.6  26.3       7.7    3.3  26.3   1.1   1   0   0   1   1   1   0 Mago-bind domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056420 PE=3 SV=1
tr|G0S6M0|G0S6M0_CHATD -          gle1                 -                6.3    3.5  28.3       0.8    6.5  24.3   1.4   2   0   0   2   2   2   0 Methionine--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026690 PE=3 SV=1
tr|G0S573|G0S573_CHATD -          gle1                 -                6.3    3.5  35.0        10    2.8  35.0   1.2   1   0   0   1   1   1   0 Putative rRNA binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032490 PE=3 SV=1
tr|G0SFK2|G0SFK2_CHATD -          gle1                 -                6.4    3.5  16.2       9.3    3.0  16.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071130 PE=4 SV=1
tr|G0S9K5|G0S9K5_CHATD -          gle1                 -                6.7    3.5  18.8       8.5    3.1  18.8   1.1   1   0   0   1   1   1   0 mRNA stability protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046210 PE=3 SV=1
tr|G0SI20|G0SI20_CHATD -          gle1                 -                6.9    3.4  28.1        22    1.8  28.1   1.8   1   0   0   1   1   1   0 Structure-specific endonuclease subunit SLX4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=SLX4 PE=3 SV=1
tr|G0S6N3|G0S6N3_CHATD -          gle1                 -                7.1    3.4  26.1        11    2.7  26.1   1.3   1   0   0   1   1   1   0 FAM192A_Fyv6_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034990 PE=4 SV=1
tr|G0SCH2|G0SCH2_CHATD -          gle1                 -                7.3    3.4  17.8        15    2.3  17.8   1.4   1   0   0   1   1   1   0 Arginine N-methyltransferase 2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057220 PE=4 SV=1
tr|G0SCE9|G0SCE9_CHATD -          gle1                 -                7.3    3.3  21.6        10    2.8  21.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056970 PE=4 SV=1
tr|G0S0G6|G0S0G6_CHATD -          gle1                 -                7.3    3.3  31.8       1.2    5.9  21.7   2.1   2   0   0   2   2   2   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009950 PE=4 SV=1
tr|G0SB26|G0SB26_CHATD -          gle1                 -                7.6    3.3  17.3        13    2.6  17.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048650 PE=4 SV=1
tr|G0S386|G0S386_CHATD -          gle1                 -                7.9    3.2  21.6        11    2.8  21.6   1.1   1   0   0   1   1   1   0 EVE domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020080 PE=4 SV=1
tr|G0S3H5|G0S3H5_CHATD -          gle1                 -                  8    3.2  17.6       9.3    3.0  17.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021060 PE=4 SV=1
tr|G0SGT2|G0SGT2_CHATD -          gle1                 -                8.1    3.2  49.1    0.0013   15.7  33.3   2.3   3   0   0   3   3   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067470 PE=4 SV=1
tr|G0S5G2|G0S5G2_CHATD -          gle1                 -                8.1    3.2  24.1        11    2.7  24.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032850 PE=4 SV=1
tr|G0S7I7|G0S7I7_CHATD -          gle1                 -                8.5    3.1  16.9        12    2.6  16.9   1.3   1   0   0   1   1   1   0 SNRNP27 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028280 PE=3 SV=1
tr|G0S1M8|G0S1M8_CHATD -          gle1                 -                8.6    3.1  41.5       2.4    4.9  17.3   2.2   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014170 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/gle1.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_unmasked/CTHE/gle1.txt --cpu 8 hmm_profiles_from_msa/gle1.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sat Sep 17 22:36:47 2022
# [ok]
