#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S156|NUP53_CHATD  -          Nup35_RRM            PF05172.10   0.00033   19.3   0.0   0.00078   18.1   0.0   1.6   1   1   0   1   1   1   1 Nucleoporin NUP53 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NUP53 PE=1 SV=2
tr|G0S793|G0S793_CHATD -          Nup35_RRM            PF05172.10         3    6.6   0.0         6    5.6   0.0   1.4   1   0   0   1   1   1   0 Histone-lysine N-methyltransferase, H3 lysine-4 specific OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027870 PE=4 SV=1
tr|G0SBB9|G0SBB9_CHATD -          Nup35_RRM            PF05172.10       3.3    6.5   0.0       6.4    5.5   0.0   1.4   1   0   0   1   1   1   0 Cystathionine gamma-synthase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049670 PE=4 SV=1
tr|G0S5J1|G0S5J1_CHATD -          Nup35_RRM            PF05172.10       3.6    6.3   0.0        40    3.0   0.0   2.2   2   0   0   2   2   2   0 Tetracycline:hydrogen antiporter-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033140 PE=4 SV=1
tr|G0S1A8|G0S1A8_CHATD -          Nup35_RRM            PF05172.10       4.2    6.1   0.0        10    4.9   0.0   1.6   1   0   0   1   1   1   0 RNA-directed RNA polymerase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012940 PE=3 SV=1
tr|G0SHK3|G0SHK3_CHATD -          Nup35_RRM            PF05172.10         7    5.4   0.0        86    1.9   0.0   2.3   2   0   0   2   2   2   0 Putative nucleolar protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070320 PE=4 SV=1
tr|G0S6L5|G0S6L5_CHATD -          Nup35_RRM            PF05172.10       7.1    5.4   0.0       9.3    5.0   0.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026640 PE=3 SV=1
tr|G0SCD4|G0SCD4_CHATD -          Nup35_RRM            PF05172.10       7.3    5.3   0.0        13    4.5   0.0   1.4   1   0   0   1   1   1   0 GRF-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056820 PE=4 SV=1
tr|G0S9S9|G0S9S9_CHATD -          Nup35_RRM            PF05172.10       7.7    5.3   0.0        84    1.9   0.0   2.6   2   1   0   2   2   2   0 Splicing factor (Prp24)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047040 PE=4 SV=1
tr|G0SBZ4|G0SBZ4_CHATD -          Nup35_RRM            PF05172.10       8.1    5.2   0.0        19    4.0   0.0   1.6   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0055330 PE=4 SV=1
tr|G0S437|G0S437_CHATD -          Nup35_RRM            PF05172.10       9.2    5.0   0.0        16    4.2   0.0   1.3   1   0   0   1   1   1   0 Mitochondrial inner membrane protease ATP23 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022430 PE=3 SV=1
tr|G0S3H0|G0S3H0_CHATD -          Nup35_RRM            PF05172.10       9.8    4.9   0.0        26    3.6   0.0   1.7   1   0   0   1   1   1   0 Putative high-affinity glucose transporter protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021010 PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF05172.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/nup53.txt --max --cpu 8 hmm_profiles/PF05172.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 16:15:06 2022
# [ok]
