#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0SA56|MLP1_CHATD   -          TPR_MLP1_2           PF07926.9    3.4e-38  129.3  32.8   3.4e-38  129.3  32.8  19.9   7   4  12  19  19  13   4 Protein MLP1 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MLP1 PE=3 SV=1
tr|G0S9J4|G0S9J4_CHATD -          TPR_MLP1_2           PF07926.9       0.31    9.8   2.0       0.5    9.1   2.0   1.3   1   0   0   1   1   1   0 Putative poly(A) binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046100 PE=4 SV=1
tr|G0SCD5|G0SCD5_CHATD -          TPR_MLP1_2           PF07926.9       0.34    9.7  16.4      0.17   10.7   2.1   3.4   3   0   0   3   3   3   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056830 PE=4 SV=1
tr|G0S4V1|G0S4V1_CHATD -          TPR_MLP1_2           PF07926.9       0.43    9.4  82.8      0.29    9.9   7.5   5.7   2   1   2   5   5   4   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031770 PE=4 SV=1
tr|G0S283|G0S283_CHATD -          TPR_MLP1_2           PF07926.9       0.44    9.3   0.3       0.9    8.3   0.3   1.4   1   0   0   1   1   1   0 26S protease regulatory subunit 6B-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016320 PE=3 SV=1
tr|G0SBK7|G0SBK7_CHATD -          TPR_MLP1_2           PF07926.9       0.47    9.2   6.9         4    6.2   2.7   2.3   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053930 PE=3 SV=1
tr|G0SDU7|G0SDU7_CHATD -          TPR_MLP1_2           PF07926.9        0.5    9.1   9.0       1.3    7.8   9.0   1.7   1   0   0   1   1   1   0 Zinc finger domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053050 PE=4 SV=1
tr|G0S2H6|G0S2H6_CHATD -          TPR_MLP1_2           PF07926.9       0.52    9.1   5.4      0.62    8.8   0.2   2.7   2   0   0   2   2   2   0 Putative GTPase activating protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017260 PE=4 SV=1
tr|G0S070|G0S070_CHATD -          TPR_MLP1_2           PF07926.9       0.53    9.1   1.1       1.1    8.0   0.1   1.8   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008950 PE=3 SV=1
tr|G0RZ89|G0RZ89_CHATD -          TPR_MLP1_2           PF07926.9       0.54    9.0   5.9       3.2    6.5   1.5   2.3   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002110 PE=4 SV=1
tr|G0S0U9|G0S0U9_CHATD -          TPR_MLP1_2           PF07926.9       0.63    8.8 174.8      0.19   10.5  19.0  10.6   3   2   8  11  11  10   0 GRIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011310 PE=4 SV=1
tr|G0SB36|G0SB36_CHATD -          TPR_MLP1_2           PF07926.9       0.64    8.8   3.2       1.1    8.1   3.2   1.3   1   0   0   1   1   1   0 Protein-lysine N-methyltransferase EFM5 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=EFM5 PE=3 SV=1
tr|G0S1W0|G0S1W0_CHATD -          TPR_MLP1_2           PF07926.9       0.78    8.5   6.6       2.9    6.7   0.3   2.1   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015020 PE=4 SV=1
tr|G0SEV4|G0SEV4_CHATD -          TPR_MLP1_2           PF07926.9       0.91    8.3   6.7       2.1    7.1   0.4   2.6   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059830 PE=4 SV=1
tr|G0S1Y3|G0S1Y3_CHATD -          TPR_MLP1_2           PF07926.9       0.94    8.3  19.4       4.3    6.1  19.0   2.1   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015280 PE=4 SV=1
tr|G0SH77|G0SH77_CHATD -          TPR_MLP1_2           PF07926.9       0.99    8.2   1.9       1.9    7.3   1.9   1.5   1   0   0   1   1   1   0 BAR domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069010 PE=4 SV=1
tr|G0SEG6|G0SEG6_CHATD -          TPR_MLP1_2           PF07926.9          1    8.1   7.1       2.1    7.1   7.1   1.4   1   0   0   1   1   1   0 Putative VAMP-associated protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0063680 PE=4 SV=1
tr|G0S1U0|G0S1U0_CHATD -          TPR_MLP1_2           PF07926.9        1.1    8.0   0.3       3.4    6.5   0.2   1.5   1   1   0   1   1   1   0 V-SNARE coiled-coil homology domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014800 PE=4 SV=1
tr|G0S9S3|G0S9S3_CHATD -          TPR_MLP1_2           PF07926.9        1.4    7.7  48.6     0.046   12.5  19.6   3.3   1   1   1   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046970 PE=4 SV=1
tr|G0S8K3|G0S8K3_CHATD -          TPR_MLP1_2           PF07926.9        1.5    7.6  18.2      0.16   10.8   8.2   2.5   1   1   2   3   3   2   0 Endocytosis protein 3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038390 PE=3 SV=1
tr|G0S5V6|G0S5V6_CHATD -          TPR_MLP1_2           PF07926.9        1.5    7.6   5.0       2.6    6.9   0.2   2.3   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033770 PE=4 SV=1
tr|G0S064|G0S064_CHATD -          TPR_MLP1_2           PF07926.9        1.6    7.5 113.0       1.2    7.9  24.1   7.2   3   2   5   8   8   6   0 TMF_TATA_bd domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008890 PE=4 SV=1
tr|G0SBE0|G0SBE0_CHATD -          TPR_MLP1_2           PF07926.9        1.7    7.4   1.3       2.7    6.8   0.3   1.9   2   0   0   2   2   1   0 Conserved oligomeric Golgi complex subunit 5 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049930 PE=4 SV=1
tr|G0S279|G0S279_CHATD -          TPR_MLP1_2           PF07926.9        1.7    7.4   4.4       1.3    7.8   0.5   2.6   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016280 PE=4 SV=1
tr|G0SCY5|G0SCY5_CHATD -          TPR_MLP1_2           PF07926.9        1.8    7.3   5.8       1.8    7.3   3.4   2.2   2   0   0   2   2   1   0 Vps53_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058820 PE=3 SV=1
tr|G0SF69|G0SF69_CHATD -          TPR_MLP1_2           PF07926.9        1.8    7.3   7.6      0.36    9.6   1.1   2.9   2   1   0   2   2   1   0 Vezatin domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061000 PE=4 SV=1
tr|G0RZ66|G0RZ66_CHATD -          TPR_MLP1_2           PF07926.9        2.2    7.1   0.1       4.6    6.0   0.1   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0001870 PE=4 SV=1
tr|G0S2T9|G0S2T9_CHATD -          TPR_MLP1_2           PF07926.9        2.3    7.0   0.5        25    3.6   0.4   2.1   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018460 PE=4 SV=1
tr|G0SFM3|G0SFM3_CHATD -          TPR_MLP1_2           PF07926.9        2.3    7.0   6.8       7.6    5.3   6.8   1.8   1   0   0   1   1   1   0 Hmp-phosphate kinase (HMP-P kinase)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071360 PE=3 SV=1
tr|G0S7V3|G0S7V3_CHATD -          TPR_MLP1_2           PF07926.9        2.4    7.0   2.2       3.8    6.3   2.2   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028930 PE=4 SV=1
tr|G0S1Q8|G0S1Q8_CHATD -          TPR_MLP1_2           PF07926.9        2.5    6.9   8.5       3.8    6.3   0.5   2.2   1   1   1   2   2   2   0 ATP synthase subunit d, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014470 PE=3 SV=1
tr|G0SGN6|G0SGN6_CHATD -          TPR_MLP1_2           PF07926.9        2.6    6.8   0.1       7.6    5.3   0.1   1.8   1   0   0   1   1   1   0 DNA polymerase alpha-associated DNA helicase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067000 PE=3 SV=1
tr|G0SGF0|G0SGF0_CHATD -          TPR_MLP1_2           PF07926.9        2.7    6.8   8.1       0.6    8.9   3.6   2.0   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066090 PE=4 SV=1
tr|G0SI54|G0SI54_CHATD -          TPR_MLP1_2           PF07926.9        2.7    6.8   8.3       4.8    6.0   0.5   2.5   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074550 PE=4 SV=1
tr|G0S7G2|G0S7G2_CHATD -          TPR_MLP1_2           PF07926.9        2.8    6.7   5.7       6.6    5.5   5.7   1.5   1   0   0   1   1   1   0 Serine--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028030 PE=4 SV=1
tr|G0S0N1|G0S0N1_CHATD -          TPR_MLP1_2           PF07926.9        2.8    6.7   0.5         6    5.7   0.5   1.4   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010620 PE=4 SV=1
tr|G0S8I5|G0S8I5_CHATD -          TPR_MLP1_2           PF07926.9        2.9    6.7  14.3        20    3.9  14.4   2.0   1   1   0   1   1   1   0 Kinetochore protein Spc24 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030010 PE=3 SV=1
tr|G0S6L1|G0S6L1_CHATD -          TPR_MLP1_2           PF07926.9        2.9    6.7   1.3       4.5    6.0   1.3   1.3   1   0   0   1   1   1   0 G protein beta subunit-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026600 PE=3 SV=1
tr|G0S6E4|G0S6E4_CHATD -          TPR_MLP1_2           PF07926.9        2.9    6.7   6.1       4.3    6.1   6.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034620 PE=3 SV=1
tr|G0RYK0|G0RYK0_CHATD -          TPR_MLP1_2           PF07926.9          3    6.6   3.2       7.2    5.4   2.0   2.0   2   0   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006970 PE=4 SV=1
tr|G0S1N4|G0S1N4_CHATD -          TPR_MLP1_2           PF07926.9        3.1    6.6   3.8        21    3.9   0.6   2.2   1   1   1   2   2   2   0 Biogenesis of lysosome-related organelles complex 1 subunit CNL1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014230 PE=3 SV=1
tr|G0S2T0|G0S2T0_CHATD -          TPR_MLP1_2           PF07926.9        3.1    6.6  11.1      0.98    8.2   1.1   3.4   3   0   0   3   3   3   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018370 PE=4 SV=1
tr|G0S7M6|G0S7M6_CHATD -          TPR_MLP1_2           PF07926.9        3.1    6.6  22.9      0.82    8.4  12.0   2.7   1   1   0   2   2   2   0 Putative rho guanyl-nucleotide exchange factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036870 PE=4 SV=1
tr|G0S8W8|G0S8W8_CHATD -          TPR_MLP1_2           PF07926.9        3.1    6.6  54.2       0.7    8.7  20.1   3.9   3   1   0   3   3   3   0 Kinetochore protein NDC80 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043700 PE=3 SV=1
tr|G0S471|G0S471_CHATD -          TPR_MLP1_2           PF07926.9        3.4    6.5   2.0       6.1    5.6   2.0   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030940 PE=4 SV=1
tr|G0RZB3|G0RZB3_CHATD -          TPR_MLP1_2           PF07926.9        3.5    6.4   1.9       5.6    5.8   1.9   1.5   1   0   0   1   1   1   0 DASH complex subunit DAD2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002350 PE=1 SV=1
tr|G0SBQ4|G0SBQ4_CHATD -          TPR_MLP1_2           PF07926.9        3.6    6.4   3.0       4.8    6.0   3.0   1.2   1   0   0   1   1   1   0 ATP synthase F1 subunit epsilon OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054400 PE=3 SV=1
tr|G0SC18|G0SC18_CHATD -          TPR_MLP1_2           PF07926.9        3.6    6.4   5.3       6.2    5.6   5.3   1.3   1   0   0   1   1   1   0 26S proteasome regulatory subunit rpn11-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0055580 PE=3 SV=1
tr|G0S3L4|G0S3L4_CHATD -          TPR_MLP1_2           PF07926.9        3.6    6.4  38.0         2    7.2   8.4   4.2   2   1   2   4   4   4   0 Nuclear distribution protein nudE-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021680 PE=3 SV=1
tr|G0RYW0|G0RYW0_CHATD -          TPR_MLP1_2           PF07926.9        3.6    6.4   2.7       3.4    6.5   0.4   1.8   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000760 PE=4 SV=1
tr|G0S2P6|G0S2P6_CHATD -          TPR_MLP1_2           PF07926.9        3.7    6.3   7.1      0.19   10.5   1.6   1.7   2   0   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018000 PE=4 SV=1
tr|G0S149|G0S149_CHATD -          TPR_MLP1_2           PF07926.9        3.8    6.3   0.2       7.2    5.4   0.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012340 PE=3 SV=1
tr|G0SGM0|G0SGM0_CHATD -          TPR_MLP1_2           PF07926.9        4.3    6.1   0.6        51    2.7   0.1   2.0   2   0   0   2   2   2   0 Ribonucloprotein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066810 PE=1 SV=1
tr|G0SG76|G0SG76_CHATD -          TPR_MLP1_2           PF07926.9        4.7    6.0   1.5        11    4.8   1.5   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065320 PE=3 SV=1
tr|G0RZ87|G0RZ87_CHATD -          TPR_MLP1_2           PF07926.9        4.9    5.9   1.8        11    4.8   1.8   1.5   1   0   0   1   1   1   0 Pumilio domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002090 PE=4 SV=1
tr|G0SGI1|G0SGI1_CHATD -          TPR_MLP1_2           PF07926.9        5.1    5.9   8.9      0.56    9.0   3.3   2.2   2   0   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066410 PE=4 SV=1
tr|G0SCB9|G0SCB9_CHATD -          TPR_MLP1_2           PF07926.9        5.2    5.8   0.2       9.9    5.0   0.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056670 PE=4 SV=1
tr|G0S3A8|G0S3A8_CHATD -          TPR_MLP1_2           PF07926.9        5.4    5.8   0.6         9    5.1   0.6   1.3   1   0   0   1   1   1   0 Nuclear distribution protein PAC1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=PAC1 PE=3 SV=1
tr|G0SCS3|G0SCS3_CHATD -          TPR_MLP1_2           PF07926.9        5.6    5.8   1.2       7.2    5.4   1.2   1.2   1   0   0   1   1   1   0 Dynein light chain OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058240 PE=3 SV=1
tr|G0SBN5|G0SBN5_CHATD -          TPR_MLP1_2           PF07926.9        5.6    5.7  17.0        14    4.5   9.8   2.4   1   1   1   2   2   2   0 Tubulin-specific chaperone A OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054210 PE=3 SV=1
tr|G0S081|G0S081_CHATD -          TPR_MLP1_2           PF07926.9        5.9    5.7   4.8        11    4.8   4.8   1.4   1   0   0   1   1   1   0 Ribosome biogenesis protein NSA2 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009080 PE=1 SV=1
tr|G0SCU6|G0SCU6_CHATD -          TPR_MLP1_2           PF07926.9        5.9    5.7   4.4         2    7.2   0.2   2.1   3   0   0   3   3   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058470 PE=4 SV=1
tr|G0S454|G0S454_CHATD -          TPR_MLP1_2           PF07926.9        6.2    5.6   3.5       7.4    5.4   3.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030750 PE=4 SV=1
