#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S235|NDC1_CHATD   -          Ndc1_Nup             PF09531.7   4.9e-184  612.1   0.0  5.5e-184  612.0   0.0   1.0   1   0   0   1   1   1   1 Nucleoporin NDC1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NDC1 PE=3 SV=1
tr|G0S9I3|G0S9I3_CHATD -          Ndc1_Nup             PF09531.7       0.27    8.6   0.1      0.24    8.8   0.1   1.1   1   0   0   1   1   1   0 5-demethoxyubiquinone hydroxylase, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=COQ7 PE=3 SV=1
tr|G0S2C6|G0S2C6_CHATD -          Ndc1_Nup             PF09531.7       0.27    8.6   0.0      0.38    8.1   0.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016760 PE=4 SV=1
tr|G0S7K0|G0S7K0_CHATD -          Ndc1_Nup             PF09531.7       0.34    8.3   5.4      0.48    7.8   5.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028420 PE=4 SV=1
tr|G0S719|G0S719_CHATD -          Ndc1_Nup             PF09531.7       0.35    8.2   6.7      0.55    7.6   6.7   1.4   1   0   0   1   1   1   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035840 PE=4 SV=1
tr|G0SA71|G0SA71_CHATD -          Ndc1_Nup             PF09531.7       0.38    8.1   0.0      0.51    7.7   0.0   1.1   1   0   0   1   1   1   0 Putative cell differentiation protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041220 PE=3 SV=1
tr|G0SI68|G0SI68_CHATD -          Ndc1_Nup             PF09531.7       0.38    8.1   0.9      0.58    7.5   0.9   1.3   1   0   0   1   1   1   0 Mitochondrial import inner membrane translocase subunit TIM50 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074700 PE=3 SV=1
tr|G0S514|G0S514_CHATD -          Ndc1_Nup             PF09531.7       0.53    7.7   8.8      0.82    7.0   8.8   1.4   1   0   0   1   1   1   0 Phosphoinositide phospholipase C OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023720 PE=3 SV=1
tr|G0SCH2|G0SCH2_CHATD -          Ndc1_Nup             PF09531.7        0.6    7.5   7.9       1.1    6.6   7.9   1.3   1   0   0   1   1   1   0 Arginine N-methyltransferase 2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057220 PE=4 SV=1
tr|G0RYP7|G0RYP7_CHATD -          Ndc1_Nup             PF09531.7       0.61    7.5   2.7      0.67    7.3   2.7   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007440 PE=4 SV=1
tr|G0SCC5|G0SCC5_CHATD -          Ndc1_Nup             PF09531.7       0.66    7.3   0.1      0.94    6.8   0.1   1.2   1   0   0   1   1   1   0 Putative peroxin-10 protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056730 PE=3 SV=1
tr|G0SDK6|G0SDK6_CHATD -          Ndc1_Nup             PF09531.7       0.66    7.3   7.8      0.83    7.0   7.8   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052120 PE=4 SV=1
tr|G0S6R5|G0S6R5_CHATD -          Ndc1_Nup             PF09531.7       0.68    7.3   0.3       1.3    6.4   0.3   1.3   1   0   0   1   1   1   0 Gpi-anchor transamidase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035330 PE=3 SV=1
tr|G0S4I4|G0S4I4_CHATD -          Ndc1_Nup             PF09531.7       0.72    7.2   0.0      0.93    6.9   0.0   1.2   1   1   0   1   1   1   0 MICOS complex subunit MIC10 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022940 PE=3 SV=1
tr|G0SHC6|G0SHC6_CHATD -          Ndc1_Nup             PF09531.7       0.74    7.2   2.6      0.81    7.0   2.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069550 PE=4 SV=1
tr|G0SHK4|G0SHK4_CHATD -          Ndc1_Nup             PF09531.7       0.76    7.1   0.1       1.3    6.3   0.1   1.3   1   0   0   1   1   1   0 Exportin-T OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070330 PE=3 SV=1
tr|G0S6S6|G0S6S6_CHATD -          Ndc1_Nup             PF09531.7       0.77    7.1   1.3      0.77    7.1   1.3   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035440 PE=4 SV=1
tr|G0S560|G0S560_CHATD -          Ndc1_Nup             PF09531.7       0.85    7.0   0.2         1    6.7   0.2   1.1   1   0   0   1   1   1   0 Putative GTP-binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032360 PE=4 SV=1
tr|G0S175|G0S175_CHATD -          Ndc1_Nup             PF09531.7       0.85    7.0   0.6      0.82    7.0   0.6   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012600 PE=4 SV=1
tr|G0RXY9|G0RXY9_CHATD -          Ndc1_Nup             PF09531.7       0.88    6.9   0.6       1.4    6.2   0.6   1.2   1   0   0   1   1   1   0 Pseudouridylate synthase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004770 PE=3 SV=1
tr|G0RXT3|G0RXT3_CHATD -          Ndc1_Nup             PF09531.7        0.9    6.9   3.7       1.3    6.4   3.7   1.2   1   0   0   1   1   1   0 Non-specific serine/threonine protein kinase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000300 PE=4 SV=1
tr|G0S689|G0S689_CHATD -          Ndc1_Nup             PF09531.7       0.93    6.9   3.6       1.3    6.4   3.6   1.3   1   0   0   1   1   1   0 DUF2431 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025890 PE=4 SV=1
tr|G0SE29|G0SE29_CHATD -          Ndc1_Nup             PF09531.7       0.93    6.8   1.7       1.2    6.5   1.7   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0062210 PE=4 SV=1
tr|G0RY77|G0RY77_CHATD -          Ndc1_Nup             PF09531.7       0.96    6.8   0.4       1.2    6.5   0.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0005710 PE=4 SV=1
tr|G0SCV7|G0SCV7_CHATD -          Ndc1_Nup             PF09531.7       0.97    6.8   2.6       1.6    6.1   2.6   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058530 PE=3 SV=1
tr|G0S8N8|G0S8N8_CHATD -          Ndc1_Nup             PF09531.7          1    6.8   0.3       1.3    6.4   0.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038790 PE=4 SV=1
tr|G0S9P6|G0S9P6_CHATD -          Ndc1_Nup             PF09531.7        1.1    6.7   4.8       1.1    6.6   4.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046640 PE=4 SV=1
tr|G0SEB4|G0SEB4_CHATD -          Ndc1_Nup             PF09531.7        1.1    6.6   1.1       1.1    6.6   1.1   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0063150 PE=4 SV=1
tr|G0SD82|G0SD82_CHATD -          Ndc1_Nup             PF09531.7        1.1    6.6   5.3       1.4    6.3   5.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059280 PE=4 SV=1
tr|G0SAX9|G0SAX9_CHATD -          Ndc1_Nup             PF09531.7        1.2    6.5   2.4       1.5    6.1   2.4   1.1   1   0   0   1   1   1   0 Dihydrolipoyllysine-residue succinyltransferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048180 PE=1 SV=1
tr|G0S127|G0S127_CHATD -          Ndc1_Nup             PF09531.7        1.2    6.5   1.1       1.3    6.4   1.1   1.3   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012120 PE=4 SV=1
tr|G0S5Z4|G0S5Z4_CHATD -          Ndc1_Nup             PF09531.7        1.2    6.5   5.3       1.5    6.1   5.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025460 PE=4 SV=1
tr|G0S870|G0S870_CHATD -          Ndc1_Nup             PF09531.7        1.3    6.4  11.0       1.7    6.0  11.0   1.2   1   0   0   1   1   1   0 RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037780 PE=3 SV=1
tr|G0S1A3|G0S1A3_CHATD -          Ndc1_Nup             PF09531.7        1.3    6.4   3.3       1.5    6.2   3.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012890 PE=4 SV=1
tr|G0S6P1|G0S6P1_CHATD -          Ndc1_Nup             PF09531.7        1.3    6.3   3.1       1.4    6.2   3.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035080 PE=4 SV=1
tr|G0S2P0|G0S2P0_CHATD -          Ndc1_Nup             PF09531.7        1.4    6.3  11.2     0.012   13.1   2.8   1.8   2   0   0   2   2   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017920 PE=4 SV=1
tr|G0SAV5|G0SAV5_CHATD -          Ndc1_Nup             PF09531.7        1.4    6.2   0.8       1.3    6.3   0.8   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047920 PE=3 SV=1
tr|G0SA14|G0SA14_CHATD -          Ndc1_Nup             PF09531.7        1.5    6.2  33.4       2.6    5.4  33.4   1.4   1   0   0   1   1   1   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040640 PE=4 SV=1
tr|G0S6A0|G0S6A0_CHATD -          Ndc1_Nup             PF09531.7        1.6    6.1   0.3       2.1    5.7   0.3   1.2   1   0   0   1   1   1   0 RING-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026000 PE=3 SV=1
tr|G0S5G7|G0S5G7_CHATD -          Ndc1_Nup             PF09531.7        1.8    5.9   2.3       2.2    5.6   2.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032900 PE=4 SV=1
tr|G0RZ52|G0RZ52_CHATD -          Ndc1_Nup             PF09531.7        1.9    5.8   4.5       2.1    5.7   4.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0001730 PE=1 SV=1
tr|G0SF82|G0SF82_CHATD -          Ndc1_Nup             PF09531.7        1.9    5.8   0.6       3.6    4.9   0.6   1.4   1   0   0   1   1   1   0 Nitrate/nitrite transporter OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061130 PE=3 SV=1
tr|G0SGK9|G0SGK9_CHATD -          Ndc1_Nup             PF09531.7        2.1    5.7   0.1       5.8    4.2   0.0   1.6   2   0   0   2   2   2   0 ER membrane protein complex subunit 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066700 PE=3 SV=1
tr|G0RYI2|G0RYI2_CHATD -          Ndc1_Nup             PF09531.7        2.1    5.7   8.2       2.5    5.5   8.2   1.1   1   0   0   1   1   1   0 ADP-ribose 1''-phosphate phosphatase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006790 PE=3 SV=1
tr|G0S5N6|G0S5N6_CHATD -          Ndc1_Nup             PF09531.7        2.1    5.7   1.4       5.8    4.2   1.0   1.9   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024910 PE=4 SV=1
tr|G0S3V1|G0S3V1_CHATD -          Ndc1_Nup             PF09531.7        2.2    5.6   2.8       3.5    4.9   2.8   1.2   1   0   0   1   1   1   0 RING-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038980 PE=4 SV=1
tr|G0RZS4|G0RZS4_CHATD -          Ndc1_Nup             PF09531.7        2.2    5.6   2.2        13    3.1   1.4   1.9   2   0   0   2   2   2   0 AAA domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004010 PE=4 SV=1
tr|G0S742|G0S742_CHATD -          Ndc1_Nup             PF09531.7        2.3    5.6   1.4       3.1    5.1   1.4   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027360 PE=4 SV=1
tr|G0S357|G0S357_CHATD -          Ndc1_Nup             PF09531.7        2.4    5.5   0.3       3.2    5.1   0.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019750 PE=4 SV=1
tr|G0S538|G0S538_CHATD -          Ndc1_Nup             PF09531.7        2.5    5.4   1.7       3.9    4.8   1.7   1.2   1   0   0   1   1   1   0 Maintenance of mitochondrial morphology protein 1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MMM1 PE=3 SV=1
tr|G0RZW8|G0RZW8_CHATD -          Ndc1_Nup             PF09531.7        2.6    5.4   0.4       5.5    4.3   0.4   1.5   1   0   0   1   1   1   0 GTPase-activating protein gyp2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007900 PE=4 SV=1
tr|G0S2G9|G0S2G9_CHATD -          Ndc1_Nup             PF09531.7        2.7    5.3   2.3       3.4    5.0   2.3   1.1   1   0   0   1   1   1   0 AMMECR1 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017190 PE=4 SV=1
tr|G0S8P4|G0S8P4_CHATD -          Ndc1_Nup             PF09531.7        2.8    5.3   1.5       4.6    4.6   1.5   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0039860 PE=4 SV=1
tr|G0SDJ7|G0SDJ7_CHATD -          Ndc1_Nup             PF09531.7        2.8    5.3  14.6       5.4    4.3  14.6   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052030 PE=4 SV=1
tr|G0SGW7|G0SGW7_CHATD -          Ndc1_Nup             PF09531.7        2.8    5.3   0.2       3.4    5.0   0.2   1.3   1   0   0   1   1   1   0 Putative late golgi protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067830 PE=1 SV=1
tr|G0S2E3|G0S2E3_CHATD -          Ndc1_Nup             PF09531.7        2.8    5.3   0.6       3.6    4.9   0.6   1.3   1   0   0   1   1   1   0 Vacuolar protein sorting-associated protein 51 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016930 PE=3 SV=1
tr|G0S0U6|G0S0U6_CHATD -          Ndc1_Nup             PF09531.7        2.9    5.2  15.4       3.7    4.9  15.4   1.2   1   0   0   1   1   1   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011280 PE=4 SV=1
tr|G0S4A8|G0S4A8_CHATD -          Ndc1_Nup             PF09531.7        2.9    5.2   3.4       3.2    5.1   3.4   1.1   1   0   0   1   1   1   0 Rad60-SLD_2 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0039510 PE=4 SV=1
tr|G0SFP7|G0SFP7_CHATD -          Ndc1_Nup             PF09531.7        2.9    5.2   2.4       3.3    5.0   2.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071630 PE=4 SV=1
tr|G0SHV8|G0SHV8_CHATD -          Ndc1_Nup             PF09531.7          3    5.2   3.7       5.8    4.2   3.7   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073540 PE=4 SV=1
tr|G0SCU8|G0SCU8_CHATD -          Ndc1_Nup             PF09531.7          3    5.2   2.0       3.6    4.9   2.0   1.1   1   0   0   1   1   1   0 Endo/exonuclease/phosphatase domain-containing protein (Fragment) OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0050280 PE=4 SV=1
tr|G0S7L7|G0S7L7_CHATD -          Ndc1_Nup             PF09531.7        3.1    5.1   7.4      0.19    9.2   1.5   1.8   2   0   0   2   2   2   0 HTH CENPB-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036780 PE=4 SV=1
tr|G0SEA9|G0SEA9_CHATD -          Ndc1_Nup             PF09531.7        3.1    5.1   0.4       3.9    4.8   0.4   1.1   1   0   0   1   1   1   0 Methionine aminopeptidase 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0063100 PE=3 SV=1
tr|G0S7I3|G0S7I3_CHATD -          Ndc1_Nup             PF09531.7        3.1    5.1   4.1       4.8    4.5   0.2   2.0   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028240 PE=4 SV=1
tr|G0S960|G0S960_CHATD -          Ndc1_Nup             PF09531.7        3.2    5.1   3.6       3.7    4.9   3.6   1.1   1   0   0   1   1   1   0 Mitochondrial genome maintenance protein MGM101 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0044670 PE=3 SV=1
tr|G0S599|G0S599_CHATD -          Ndc1_Nup             PF09531.7        3.2    5.1   1.7       4.2    4.7   1.7   1.1   1   0   0   1   1   1   0 Putative mitochondrial carrier protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032760 PE=3 SV=1
tr|G0S6S5|G0S6S5_CHATD -          Ndc1_Nup             PF09531.7        3.3    5.0   5.5       3.6    4.9   5.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035430 PE=3 SV=1
tr|G0S5R0|G0S5R0_CHATD -          Ndc1_Nup             PF09531.7        3.5    5.0   0.2       5.2    4.4   0.2   1.2   1   0   0   1   1   1   0 Pre-rRNA-processing protein RIX1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025150 PE=3 SV=1
tr|G0S7G3|G0S7G3_CHATD -          Ndc1_Nup             PF09531.7        3.6    4.9   0.8       4.5    4.6   0.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028040 PE=4 SV=1
tr|G0S078|G0S078_CHATD -          Ndc1_Nup             PF09531.7        3.6    4.9   0.2       3.4    5.0   0.2   1.1   1   0   0   1   1   1   0 Putative ribosomal protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009050 PE=4 SV=1
tr|G0SHF4|G0SHF4_CHATD -          Ndc1_Nup             PF09531.7        3.6    4.9   2.9       5.3    4.3   2.9   1.3   1   0   0   1   1   1   0 DNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069830 PE=3 SV=1
tr|G0SGI5|G0SGI5_CHATD -          Ndc1_Nup             PF09531.7        3.6    4.9   1.2       6.5    4.1   1.2   1.4   1   0   0   1   1   1   0 Rhomboid-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066450 PE=3 SV=1
tr|G0S9T6|G0S9T6_CHATD -          Ndc1_Nup             PF09531.7        3.7    4.9   1.4         4    4.8   1.4   1.1   1   0   0   1   1   1   0 CFEM domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047120 PE=3 SV=1
