#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S4T0|NU192_CHATD  -          nup205               -            3.6e-98  327.9  23.7   2.5e-46  156.0   3.5   4.8   4   2   0   4   4   4   3 Nucleoporin NUP192 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NUP192 PE=1 SV=1
tr|G0S629|G0S629_CHATD -          nup205               -                2.8    3.3   0.0       4.3    2.6   0.0   1.2   1   0   0   1   1   1   0 Putative ARF guanine-nucleotide exchange factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033970 PE=4 SV=1
tr|G0S0C7|G0S0C7_CHATD -          nup205               -                3.1    3.1   1.2         4    2.7   1.2   1.0   1   0   0   1   1   1   0 HMG box domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009550 PE=4 SV=1
tr|G0RYB5|G0RYB5_CHATD -          nup205               -                3.9    2.8   0.1       4.8    2.5   0.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006100 PE=4 SV=1
tr|G0S4X9|G0S4X9_CHATD -          nup205               -                4.5    2.6   0.1       4.1    2.7   0.1   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032050 PE=4 SV=1
tr|G0SF46|G0SF46_CHATD -          nup205               -                5.4    2.3   0.2       8.2    1.7   0.2   1.2   1   0   0   1   1   1   0 DUF3835 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060770 PE=4 SV=1
tr|G0S538|G0S538_CHATD -          nup205               -                5.8    2.2   2.2       7.5    1.8   2.2   1.0   1   0   0   1   1   1   0 Maintenance of mitochondrial morphology protein 1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MMM1 PE=3 SV=1
tr|G0S5S4|G0S5S4_CHATD -          nup205               -                6.4    2.1   0.0       8.5    1.7   0.0   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033440 PE=3 SV=1
tr|G0S639|G0S639_CHATD -          nup205               -                6.9    2.0   1.0        12    1.1   1.0   1.3   1   0   0   1   1   1   0 BRO1 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034070 PE=4 SV=1
tr|G0SHF4|G0SHF4_CHATD -          nup205               -                7.1    1.9   1.5       9.7    1.5   1.5   1.1   1   0   0   1   1   1   0 DNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069830 PE=3 SV=1
tr|G0SAR9|G0SAR9_CHATD -          nup205               -                7.1    1.9   0.0       9.9    1.4   0.0   1.0   1   0   0   1   1   1   0 Monooxygenase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043260 PE=4 SV=1
tr|G0S2P6|G0S2P6_CHATD -          nup205               -                7.9    1.8   1.6        10    1.4   1.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018000 PE=4 SV=1
tr|G0S8D4|G0S8D4_CHATD -          nup205               -                  9    1.6   3.0        12    1.2   3.0   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021350 PE=4 SV=1
tr|G0SG11|G0SG11_CHATD -          nup205               -                9.3    1.5   0.2        11    1.3   0.2   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064640 PE=4 SV=1
tr|G0S8R5|G0S8R5_CHATD -          nup205               -                9.4    1.5   2.0        15    0.9   2.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040070 PE=4 SV=1
tr|G0S3H5|G0S3H5_CHATD -          nup205               -                9.9    1.5   0.2        11    1.3   0.2   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021060 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/nup205.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/nup205.txt --max --cpu 8 hmm_profiles_from_msa/nup205.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 09:44:16 2022
# [ok]
