#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7R3|POM34_CHATD  -          mug31                -            6.9e-50  168.0   5.6   6.9e-50  168.0   5.6   2.7   2   2   0   2   2   2   1 Nucleoporin POM34 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=POM34 PE=3 SV=2
tr|G0S5M0|G0S5M0_CHATD -          mug31                -                4.8    5.3   5.1       9.9    4.3   5.1   1.4   1   0   0   1   1   1   0 L-type lectin-like domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024750 PE=4 SV=1
tr|G0SHD9|G0SHD9_CHATD -          mug31                -                  5    5.2   0.2       5.4    5.1   0.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069680 PE=4 SV=1
tr|G0S2M5|G0S2M5_CHATD -          mug31                -                5.1    5.2   0.0       8.5    4.5   0.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017770 PE=4 SV=1
tr|G0S1T1|G0S1T1_CHATD -          mug31                -                5.8    5.0   0.0       8.8    4.4   0.0   1.2   1   0   0   1   1   1   0 Aspartate-semialdehyde dehydrogenase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014710 PE=3 SV=1
tr|G0RZJ8|G0RZJ8_CHATD -          mug31                -                6.3    4.9   0.2        20    3.2   0.2   1.8   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003210 PE=4 SV=1
tr|G0S6J6|G0S6J6_CHATD -          mug31                -                6.8    4.8   4.6        13    3.9   4.6   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026450 PE=3 SV=1
tr|G0S4J2|G0S4J2_CHATD -          mug31                -                6.9    4.8   0.4        15    3.6   0.1   1.6   1   1   0   1   1   1   0 Ribonuclease P protein subunit OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031160 PE=3 SV=1
tr|G0SAG0|G0SAG0_CHATD -          mug31                -                7.3    4.7   4.9       8.6    4.5   4.9   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0042140 PE=4 SV=1
tr|G0RYG6|G0RYG6_CHATD -          mug31                -                7.5    4.6   0.2        19    3.3   0.2   1.6   1   0   0   1   1   1   0 Biogenesis of lysosome-related organelles complex 1 subunit KXD1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006620 PE=3 SV=1
tr|G0S2K9|G0S2K9_CHATD -          mug31                -                7.6    4.6   0.0        73    1.4   0.0   2.2   2   0   0   2   2   2   0 1,3-beta-glucan synthase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017590 PE=3 SV=1
tr|G0RZV6|G0RZV6_CHATD -          mug31                -                  8    4.6   1.1        26    2.9   1.1   1.8   1   0   0   1   1   1   0 Putative G protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004360 PE=4 SV=1
tr|G0S2W0|G0S2W0_CHATD -          mug31                -                8.7    4.4   2.3       7.3    4.7   1.4   1.3   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018670 PE=4 SV=1
tr|G0S016|G0S016_CHATD -          mug31                -                8.8    4.4   3.1        18    3.4   3.1   1.4   1   0   0   1   1   1   0 Methyltransf_11 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008400 PE=4 SV=1
tr|G0SHC5|G0SHC5_CHATD -          mug31                -                  9    4.4   2.3        14    3.7   2.3   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069540 PE=4 SV=1
tr|G0S865|G0S865_CHATD -          mug31                -                9.4    4.3   0.0        14    3.7   0.0   1.2   1   0   0   1   1   1   0 Guanine deaminase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037730 PE=4 SV=1
tr|G0S4G5|G0S4G5_CHATD -          mug31                -                9.5    4.3   3.3        15    3.6   3.3   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022730 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/mug31.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/mug31.txt --max --cpu 8 hmm_profiles_from_msa/mug31.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 09:45:04 2022
# [ok]
