#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7F3|GLE1_CHATD   -          gle1                 -              4e-71  238.5  19.4     4e-59  198.9   0.0   3.0   2   1   1   3   3   3   3 mRNA export factor GLE1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=GLE1 PE=1 SV=1
tr|G0SI47|G0SI47_CHATD -          gle1                 -               0.13    9.1   8.2      0.27    8.1   8.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074470 PE=4 SV=1
tr|G0S514|G0S514_CHATD -          gle1                 -               0.17    8.7  21.7      0.24    8.2  21.7   1.1   1   0   0   1   1   1   0 Phosphoinositide phospholipase C OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023720 PE=3 SV=1
tr|G0RYD6|G0RYD6_CHATD -          gle1                 -               0.18    8.7  47.3    0.0036   14.3  38.8   2.0   2   0   0   2   2   2   0 Putative ribosome associated protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006310 PE=1 SV=1
tr|G0S754|G0S754_CHATD -          gle1                 -               0.23    8.3  12.8      0.33    7.8  12.8   1.2   1   0   0   1   1   1   0 Putative pre-mRNA splicing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027480 PE=3 SV=1
tr|G0SGY6|G0SGY6_CHATD -          gle1                 -               0.25    8.2  30.2     0.087    9.7  21.0   2.3   2   0   0   2   2   2   0 RING-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0068020 PE=4 SV=1
tr|G0SGG6|G0SGG6_CHATD -          gle1                 -               0.26    8.1  19.8     0.035   11.0  13.3   2.0   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066260 PE=4 SV=1
tr|G0S8D4|G0S8D4_CHATD -          gle1                 -               0.26    8.1  17.1      0.35    7.7  17.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021350 PE=4 SV=1
tr|G0SCP3|G0SCP3_CHATD -          gle1                 -               0.27    8.1  23.2       0.3    7.9  23.2   1.1   1   0   0   1   1   1   0 rRNA-processing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057940 PE=3 SV=1
tr|G0S8H5|G0S8H5_CHATD -          gle1                 -               0.29    8.0   1.9      0.58    7.0   1.9   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029900 PE=4 SV=1
tr|G0SDC7|G0SDC7_CHATD -          gle1                 -                0.3    7.9  24.7      0.63    6.9  24.7   1.5   1   0   0   1   1   1   0 Altered inheritance of mitochondria protein 24, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051310 PE=3 SV=1
tr|G0S638|G0S638_CHATD -          gle1                 -               0.31    7.9   8.4      0.68    6.8   8.4   1.5   1   0   0   1   1   1   0 Cutinase transcription factor 1 alpha-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034060 PE=4 SV=1
tr|G0S6J8|G0S6J8_CHATD -          gle1                 -               0.32    7.8  19.4      0.46    7.3  19.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026470 PE=4 SV=1
tr|G0SGL3|G0SGL3_CHATD -          gle1                 -               0.33    7.8  18.0      0.43    7.4  18.0   1.1   1   0   0   1   1   1   0 tRNA N(3)-methylcytidine methyltransferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066740 PE=3 SV=1
tr|G0S9B7|G0S9B7_CHATD -          gle1                 -               0.38    7.6   6.0      0.43    7.4   6.0   1.1   1   0   0   1   1   1   0 Pre-mRNA splicing factor (Srp1)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045250 PE=4 SV=1
tr|G0RYN0|G0RYN0_CHATD -          gle1                 -                0.4    7.5  20.1       0.8    6.5  20.1   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007270 PE=4 SV=1
tr|G0SEY5|G0SEY5_CHATD -          gle1                 -               0.42    7.4   1.5      0.59    6.9   1.5   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060140 PE=4 SV=1
tr|G0SFJ6|G0SFJ6_CHATD -          gle1                 -               0.42    7.4  11.3      0.52    7.1  11.3   1.1   1   0   0   1   1   1   0 SRP9-21 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071070 PE=4 SV=1
tr|G0S6J6|G0S6J6_CHATD -          gle1                 -               0.43    7.4   0.9      0.79    6.5   0.9   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026450 PE=3 SV=1
tr|G0SGX0|G0SGX0_CHATD -          gle1                 -                0.5    7.2   6.8       0.7    6.7   6.8   1.1   1   0   0   1   1   1   0 Elongation factor 1-gamma-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067860 PE=3 SV=1
tr|G0SCF6|G0SCF6_CHATD -          gle1                 -               0.57    7.0   8.8      0.58    7.0   8.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057040 PE=4 SV=1
tr|G0RZC9|G0RZC9_CHATD -          gle1                 -               0.59    7.0   7.7      0.77    6.6   7.7   1.1   1   0   0   1   1   1   0 NFACT-R_1 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002520 PE=3 SV=1
tr|G0S257|G0S257_CHATD -          gle1                 -                0.6    6.9  20.8      0.69    6.7  20.8   1.2   1   0   0   1   1   1   0 GrpE protein homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016060 PE=3 SV=1
tr|G0SDT6|G0SDT6_CHATD -          gle1                 -               0.61    6.9   0.7       1.1    6.0   0.7   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052940 PE=4 SV=1
tr|G0SCF0|G0SCF0_CHATD -          gle1                 -               0.68    6.7   8.7      0.72    6.7   8.7   1.0   1   0   0   1   1   1   0 ATP synthase subunit e, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056980 PE=3 SV=1
tr|G0RZH8|G0RZH8_CHATD -          gle1                 -               0.72    6.7   0.3       1.2    5.9   0.3   1.3   1   0   0   1   1   1   0 Conserved oligomeric Golgi complex subunit 8 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003010 PE=3 SV=1
tr|G0S1P9|G0S1P9_CHATD -          gle1                 -               0.73    6.6  17.0      0.83    6.5  17.0   1.1   1   0   0   1   1   1   0 60S ribosomal protein L24-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014380 PE=1 SV=1
tr|G0S622|G0S622_CHATD -          gle1                 -               0.73    6.6   2.7      0.78    6.6   2.7   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033900 PE=4 SV=1
tr|G0RZG1|G0RZG1_CHATD -          gle1                 -               0.75    6.6   7.2       1.5    5.6   7.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002840 PE=1 SV=1
tr|G0RZV7|G0RZV7_CHATD -          gle1                 -               0.77    6.6  22.3       1.5    5.6  22.3   1.4   1   0   0   1   1   1   0 Specific protease-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004370 PE=1 SV=1
tr|G0S0Y2|G0S0Y2_CHATD -          gle1                 -               0.88    6.4  16.9       1.4    5.7  16.9   1.2   1   0   0   1   1   1   0 UAS domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011650 PE=4 SV=1
tr|G0RYI3|G0RYI3_CHATD -          gle1                 -               0.95    6.3   3.2      0.85    6.4   3.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006800 PE=4 SV=1
tr|G0SGW5|G0SGW5_CHATD -          gle1                 -               0.96    6.3   5.0       1.2    5.9   5.0   1.1   1   0   0   1   1   1   0 Clathrin light chain OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067810 PE=3 SV=1
tr|G0SEM2|G0SEM2_CHATD -          gle1                 -               0.98    6.2  10.4       1.4    5.7  10.4   1.2   1   0   0   1   1   1   0 Cysteine--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064250 PE=3 SV=1
tr|G0SHG6|G0SHG6_CHATD -          gle1                 -               0.99    6.2   4.9       1.4    5.7   4.9   1.2   1   0   0   1   1   1   0 Asparagine--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069950 PE=4 SV=1
tr|G0RYB4|G0RYB4_CHATD -          gle1                 -                  1    6.2  16.5       1.3    5.9  16.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006090 PE=4 SV=1
tr|G0S1S7|G0S1S7_CHATD -          gle1                 -                  1    6.2  12.0       1.8    5.3  12.0   1.3   1   0   0   1   1   1   0 Aspartate--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014660 PE=3 SV=1
tr|G0S272|G0S272_CHATD -          gle1                 -                1.1    6.0   2.9       1.7    5.4   2.9   1.2   1   0   0   1   1   1   0 Putative translation release factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016210 PE=3 SV=1
tr|G0SAX4|G0SAX4_CHATD -          gle1                 -                1.1    6.0  20.7       1.5    5.6  20.7   1.0   1   0   0   1   1   1   0 HIG1 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048130 PE=3 SV=1
tr|G0SD66|G0SD66_CHATD -          gle1                 -                1.2    6.0   0.5       1.4    5.7   0.5   1.1   1   0   0   1   1   1   0 Putative COP9 signalosome protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059120 PE=3 SV=1
tr|G0S088|G0S088_CHATD -          gle1                 -                1.2    5.9  11.9       2.1    5.2  11.9   1.3   1   0   0   1   1   1   0 C3H1-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009160 PE=4 SV=1
tr|G0S6Z2|G0S6Z2_CHATD -          gle1                 -                1.2    5.9   4.4       1.2    6.0   4.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035560 PE=4 SV=1
tr|G0SEW5|G0SEW5_CHATD -          gle1                 -                1.3    5.8  26.1       1.9    5.3  26.1   1.2   1   0   0   1   1   1   0 Putative homeobox protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059940 PE=4 SV=1
tr|G0SFI9|G0SFI9_CHATD -          gle1                 -                1.3    5.8  34.2       1.8    5.3  34.2   1.1   1   0   0   1   1   1   0 Protein kinase domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071000 PE=4 SV=1
tr|G0SHJ2|G0SHJ2_CHATD -          gle1                 -                1.3    5.8   4.0       2.4    4.9   4.0   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070210 PE=4 SV=1
tr|G0S5G7|G0S5G7_CHATD -          gle1                 -                1.3    5.8   6.6       1.6    5.5   6.6   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032900 PE=4 SV=1
tr|G0S624|G0S624_CHATD -          gle1                 -                1.3    5.8   5.2       1.8    5.4   5.2   1.1   1   0   0   1   1   1   0 tRNA-splicing endonuclease subunit Sen34 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033920 PE=3 SV=1
tr|G0RYB5|G0RYB5_CHATD -          gle1                 -                1.4    5.7   2.6       1.7    5.5   2.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006100 PE=4 SV=1
tr|G0S4Z2|G0S4Z2_CHATD -          gle1                 -                1.5    5.6  16.1       2.1    5.1  16.1   1.1   1   0   0   1   1   1   0 Lactamase_B domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032180 PE=3 SV=1
tr|G0S3J0|G0S3J0_CHATD -          gle1                 -                1.5    5.6   0.8       1.6    5.5   0.8   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021430 PE=4 SV=1
tr|G0SH12|G0SH12_CHATD -          gle1                 -                1.6    5.5  19.9       2.2    5.0  19.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0068300 PE=4 SV=1
tr|G0SGT5|G0SGT5_CHATD -          gle1                 -                1.7    5.4   6.5       2.7    4.8   6.5   1.2   1   0   0   1   1   1   0 Serine/threonine-protein phosphatase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067500 PE=3 SV=1
tr|G0S6D8|G0S6D8_CHATD -          gle1                 -                1.7    5.4   2.3       2.3    5.0   2.3   1.1   1   0   0   1   1   1   0 GPN-loop GTPase 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034560 PE=3 SV=1
tr|G0SBK2|G0SBK2_CHATD -          gle1                 -                1.7    5.4  13.9       2.3    5.0  13.9   1.1   1   0   0   1   1   1   0 tRNA-dihydrouridine(47) synthase [NAD(P)(+)] OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053870 PE=3 SV=1
tr|G0SHU3|G0SHU3_CHATD -          gle1                 -                1.7    5.4  47.1      0.65    6.8  13.1   2.1   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073380 PE=4 SV=1
tr|G0S3C9|G0S3C9_CHATD -          gle1                 -                1.7    5.4  34.5    0.0055   13.6  24.7   1.6   2   0   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020560 PE=3 SV=1
tr|G0RZC7|G0RZC7_CHATD -          gle1                 -                1.7    5.4  21.8       2.4    4.9  21.8   1.1   1   0   0   1   1   1   0 Kinetochore protein SPC25 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002500 PE=3 SV=1
tr|G0S0B5|G0S0B5_CHATD -          gle1                 -                1.7    5.4  15.7       2.1    5.2  15.7   1.1   1   0   0   1   1   1   0 Translocation protein (Sec66)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009430 PE=1 SV=1
tr|G0S127|G0S127_CHATD -          gle1                 -                1.8    5.4  13.1       2.3    5.0  13.1   1.1   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012120 PE=4 SV=1
tr|G0S8W7|G0S8W7_CHATD -          gle1                 -                1.8    5.3  12.3       2.7    4.7  12.3   1.2   1   0   0   1   1   1   0 Peroxisomal membrane protein PEX14 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043690 PE=3 SV=1
tr|G0S040|G0S040_CHATD -          gle1                 -                1.9    5.3  12.4       2.2    5.1  12.4   1.1   1   0   0   1   1   1   0 L51_S25_CI-B8 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008640 PE=3 SV=1
tr|G0S5D0|G0S5D0_CHATD -          gle1                 -                1.9    5.3  44.7       3.2    4.5  44.7   1.3   1   0   0   1   1   1   0 Pre-mRNA-splicing factor 18 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024370 PE=3 SV=1
tr|G0SDZ9|G0SDZ9_CHATD -          gle1                 -                2.1    5.1   8.1       3.4    4.4   8.1   1.2   1   0   0   1   1   1   0 Protein kinase domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061910 PE=4 SV=1
tr|G0S4T5|G0S4T5_CHATD -          gle1                 -                2.2    5.1   4.7       3.3    4.5   4.7   1.3   1   0   0   1   1   1   0 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023460 PE=3 SV=1
tr|G0SG54|G0SG54_CHATD -          gle1                 -                2.2    5.1   8.8       3.2    4.5   8.8   1.3   1   0   0   1   1   1   0 Origin recognition complex subunit 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065080 PE=3 SV=1
tr|G0S385|G0S385_CHATD -          gle1                 -                2.2    5.1   2.5       3.6    4.3   2.5   1.3   1   0   0   1   1   1   0 ARID domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020070 PE=4 SV=1
tr|G0S550|G0S550_CHATD -          gle1                 -                2.2    5.1   1.3       4.3    4.1   1.3   1.4   1   0   0   1   1   1   0 Polynucleotide adenylyltransferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032240 PE=3 SV=1
tr|G0S0J3|G0S0J3_CHATD -          gle1                 -                2.2    5.0  13.2       4.8    3.9  13.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010220 PE=4 SV=1
tr|G0S1Q8|G0S1Q8_CHATD -          gle1                 -                2.2    5.0   5.1       2.6    4.8   5.1   1.0   1   0   0   1   1   1   0 ATP synthase subunit d, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014470 PE=3 SV=1
tr|G0RZB3|G0RZB3_CHATD -          gle1                 -                2.4    5.0   0.8       2.5    4.9   0.8   1.1   1   0   0   1   1   1   0 DASH complex subunit DAD2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002350 PE=1 SV=1
tr|G0RZC1|G0RZC1_CHATD -          gle1                 -                2.4    5.0  30.4       3.4    4.5  30.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002440 PE=4 SV=1
tr|G0S473|G0S473_CHATD -          gle1                 -                2.4    4.9  36.4       4.4    4.1  36.4   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030960 PE=4 SV=1
