#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S2G1|ELYS_CHATD   -          elys                 -            3.9e-27   92.4   0.0   4.9e-27   92.1   0.0   1.0   1   0   0   1   1   1   1 Protein ELYS OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=ELYS PE=1 SV=1
tr|G0SHC6|G0SHC6_CHATD -          elys                 -               0.91    4.9   8.4       1.1    4.6   8.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069550 PE=4 SV=1
tr|G0S252|G0S252_CHATD -          elys                 -               0.93    4.9  10.9      0.98    4.8  10.9   1.1   1   0   0   1   1   1   0 Required for respiratory growth protein 9, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016010 PE=3 SV=1
tr|G0S624|G0S624_CHATD -          elys                 -                  1    4.8   3.1       1.2    4.5   3.1   1.0   1   0   0   1   1   1   0 tRNA-splicing endonuclease subunit Sen34 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033920 PE=3 SV=1
tr|G0S1P9|G0S1P9_CHATD -          elys                 -                  1    4.7   8.2         1    4.8   8.2   1.0   1   0   0   1   1   1   0 60S ribosomal protein L24-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014380 PE=1 SV=1
tr|G0RZ52|G0RZ52_CHATD -          elys                 -                1.1    4.6  18.2       1.2    4.6  18.2   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0001730 PE=1 SV=1
tr|G0RXT6|G0RXT6_CHATD -          elys                 -                1.2    4.6  11.0       1.4    4.3  11.0   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000330 PE=4 SV=1
tr|G0S1N5|G0S1N5_CHATD -          elys                 -                1.2    4.5   4.3       1.4    4.3   4.3   1.1   1   0   0   1   1   1   0 Zinc finger domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014240 PE=4 SV=1
tr|G0SAR6|G0SAR6_CHATD -          elys                 -                1.2    4.5  67.3       1.9    3.9  67.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043230 PE=4 SV=1
tr|G0S695|G0S695_CHATD -          elys                 -                1.2    4.5   3.1       1.6    4.1   3.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025950 PE=4 SV=1
tr|G0S7U7|G0S7U7_CHATD -          elys                 -                1.6    4.1  13.1       1.8    4.0  13.1   1.0   1   0   0   1   1   1   0 Putative transcription factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028870 PE=4 SV=1
tr|G0S547|G0S547_CHATD -          elys                 -                1.7    4.0  13.1       2.1    3.7  13.1   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024060 PE=4 SV=1
tr|G0S6J8|G0S6J8_CHATD -          elys                 -                1.7    4.0  11.9       2.3    3.6  11.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026470 PE=4 SV=1
tr|G0S8F8|G0S8F8_CHATD -          elys                 -                1.7    4.0  28.7       2.5    3.5  28.7   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029730 PE=3 SV=1
tr|G0S6Z6|G0S6Z6_CHATD -          elys                 -                1.8    4.0   4.4       3.1    3.1   4.4   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035600 PE=4 SV=1
tr|G0S8B1|G0S8B1_CHATD -          elys                 -                2.1    3.7  14.6       2.6    3.4  14.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038210 PE=4 SV=1
tr|G0RYA9|G0RYA9_CHATD -          elys                 -                2.1    3.7  42.8       2.4    3.5  42.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006040 PE=4 SV=1
tr|G0SDA8|G0SDA8_CHATD -          elys                 -                2.1    3.7  10.5       3.4    3.0  10.5   1.1   1   0   0   1   1   1   0 Putative oxysterol binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051110 PE=3 SV=1
tr|G0SCB1|G0SCB1_CHATD -          elys                 -                2.3    3.6  17.7       2.5    3.4  17.7   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056590 PE=4 SV=1
tr|G0S0J9|G0S0J9_CHATD -          elys                 -                2.6    3.4   0.1       3.4    3.0   0.1   1.0   1   0   0   1   1   1   0 RIBOSOMAL_L9 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010280 PE=3 SV=1
tr|G0S7Y9|G0S7Y9_CHATD -          elys                 -                2.6    3.4   0.0        18    0.6   0.0   1.8   2   0   0   2   2   2   0 Coatomer subunit beta' OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037490 PE=3 SV=1
tr|G0SE77|G0SE77_CHATD -          elys                 -                2.7    3.4   4.4       3.7    2.9   4.4   1.1   1   0   0   1   1   1   0 Protein kinase domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0062760 PE=4 SV=1
tr|G0RZN2|G0RZN2_CHATD -          elys                 -                2.7    3.3  13.8       2.7    3.3  13.8   1.2   1   0   0   1   1   1   0 Transcriptional activator HAP2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003560 PE=3 SV=1
tr|G0RYT5|G0RYT5_CHATD -          elys                 -                2.8    3.3   1.8       3.6    3.0   1.8   1.0   1   0   0   1   1   1   0 Phosphoinositide phospholipase C OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007830 PE=4 SV=1
tr|G0S257|G0S257_CHATD -          elys                 -                2.9    3.2   7.2       3.3    3.1   7.2   1.0   1   0   0   1   1   1   0 GrpE protein homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016060 PE=3 SV=1
tr|G0SFJ6|G0SFJ6_CHATD -          elys                 -                3.1    3.1   2.3       3.8    2.9   2.3   1.0   1   0   0   1   1   1   0 SRP9-21 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071070 PE=4 SV=1
tr|G0S0A8|G0S0A8_CHATD -          elys                 -                3.2    3.1  14.0       4.2    2.7  14.0   1.1   1   0   0   1   1   1   0 Zinc finger domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009360 PE=4 SV=1
tr|G0S8S0|G0S8S0_CHATD -          elys                 -                3.3    3.1   2.4       3.5    3.0   2.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040120 PE=4 SV=1
tr|G0SGQ2|G0SGQ2_CHATD -          elys                 -                3.5    3.0  23.4       6.5    2.1  23.4   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067160 PE=4 SV=1
tr|G0SG39|G0SG39_CHATD -          elys                 -                3.6    2.9   8.9       4.8    2.5   8.9   1.1   1   0   0   1   1   1   0 Myb_DNA-bind_3 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064930 PE=4 SV=1
tr|G0S6Z2|G0S6Z2_CHATD -          elys                 -                3.8    2.9   3.6       3.7    2.9   3.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035560 PE=4 SV=1
tr|G0SG71|G0SG71_CHATD -          elys                 -                4.2    2.7   5.5       4.9    2.5   5.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065270 PE=4 SV=1
tr|G0SGF0|G0SGF0_CHATD -          elys                 -                4.3    2.7   0.5       4.9    2.5   0.5   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066090 PE=4 SV=1
tr|G0S9K5|G0S9K5_CHATD -          elys                 -                4.3    2.7   6.4       4.3    2.7   6.4   1.0   1   0   0   1   1   1   0 mRNA stability protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046210 PE=3 SV=1
tr|G0SAD7|G0SAD7_CHATD -          elys                 -                4.8    2.5  39.7         7    2.0  39.7   1.1   1   0   0   1   1   1   0 DNA-dependent RNA polymerase I subunit a43-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041910 PE=3 SV=1
tr|G0S3I5|G0S3I5_CHATD -          elys                 -                4.8    2.5   7.0         6    2.2   7.0   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021380 PE=4 SV=1
tr|G0S3J0|G0S3J0_CHATD -          elys                 -                4.9    2.5   1.5       5.7    2.3   1.5   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021430 PE=4 SV=1
tr|G0S719|G0S719_CHATD -          elys                 -                  5    2.5  21.4         5    2.5  21.4   1.1   1   0   0   1   1   1   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035840 PE=4 SV=1
tr|G0SGL3|G0SGL3_CHATD -          elys                 -                5.5    2.3   9.4       6.5    2.1   9.4   1.0   1   0   0   1   1   1   0 tRNA N(3)-methylcytidine methyltransferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066740 PE=3 SV=1
tr|G0SCP3|G0SCP3_CHATD -          elys                 -                5.9    2.2  10.9       5.4    2.4  10.9   1.0   1   0   0   1   1   1   0 rRNA-processing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057940 PE=3 SV=1
tr|G0RYX9|G0RYX9_CHATD -          elys                 -                  6    2.2   7.8       6.4    2.1   7.8   1.1   1   0   0   1   1   1   0 Putative iron sulfur assembly protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000960 PE=4 SV=1
tr|G0RZN1|G0RZN1_CHATD -          elys                 -                6.2    2.2   6.1       6.6    2.1   6.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003550 PE=4 SV=1
tr|G0S6S6|G0S6S6_CHATD -          elys                 -                6.2    2.2   6.3       6.3    2.1   6.3   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035440 PE=4 SV=1
tr|G0SFA9|G0SFA9_CHATD -          elys                 -                6.2    2.1   7.9       6.6    2.1   7.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061400 PE=4 SV=1
tr|G0S938|G0S938_CHATD -          elys                 -                6.4    2.1   2.9         9    1.6   2.9   1.1   1   0   0   1   1   1   0 Casein kinase II subunit beta OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0044420 PE=3 SV=1
tr|G0SCY6|G0SCY6_CHATD -          elys                 -                6.5    2.1   1.6       6.5    2.1   1.6   1.0   1   0   0   1   1   1   0 HYPK_UBA domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058830 PE=1 SV=1
tr|G0S872|G0S872_CHATD -          elys                 -                6.5    2.1   0.0        12    1.2   0.0   1.2   1   1   1   2   2   2   0 Putative U3 snoRNP protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037800 PE=1 SV=1
tr|G0RYY0|G0RYY0_CHATD -          elys                 -                6.5    2.1   1.9       8.3    1.7   1.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000970 PE=3 SV=1
tr|G0SHF4|G0SHF4_CHATD -          elys                 -                7.2    1.9  28.8        10    1.4  28.8   1.0   1   0   0   1   1   1   0 DNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069830 PE=3 SV=1
tr|G0SEL2|G0SEL2_CHATD -          elys                 -                7.2    1.9   0.3       7.1    2.0   0.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064140 PE=4 SV=1
tr|G0S557|G0S557_CHATD -          elys                 -                7.3    1.9   1.4        11    1.4   1.4   1.1   1   0   0   1   1   1   0 Sister chromatid cohesion protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032310 PE=1 SV=1
tr|G0S9V9|G0S9V9_CHATD -          elys                 -                7.4    1.9  21.7        10    1.4  21.7   1.2   1   0   0   1   1   1   0 ATP-dependent RNA helicase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047360 PE=3 SV=1
tr|G0S643|G0S643_CHATD -          elys                 -                7.5    1.9  26.4        10    1.5  26.4   1.1   1   0   0   1   1   1   0 DNA replication licensing factor MCM3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034110 PE=3 SV=1
tr|G0RY64|G0RY64_CHATD -          elys                 -                7.6    1.9   2.7        11    1.3   2.7   1.2   1   0   0   1   1   1   0 Putative vps protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0005580 PE=4 SV=1
tr|G0SCE9|G0SCE9_CHATD -          elys                 -                7.6    1.9  12.2        11    1.3  12.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056970 PE=4 SV=1
tr|G0S6U1|G0S6U1_CHATD -          elys                 -                8.5    1.7   9.0        11    1.3   9.0   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026870 PE=4 SV=1
tr|G0S2D9|G0S2D9_CHATD -          elys                 -                8.5    1.7   8.5       9.5    1.5   8.5   1.0   1   0   0   1   1   1   0 Histone chaperone OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016890 PE=3 SV=1
tr|G0S530|G0S530_CHATD -          elys                 -                8.6    1.7   0.9       9.8    1.5   0.9   1.0   1   0   0   1   1   1   0 Putative histone H3 protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023890 PE=3 SV=1
tr|G0SBD1|G0SBD1_CHATD -          elys                 -                8.6    1.7   0.9        10    1.5   0.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049830 PE=4 SV=1
tr|G0S973|G0S973_CHATD -          elys                 -                8.7    1.7   3.6       7.8    1.8   3.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0044800 PE=4 SV=1
tr|G0S5W5|G0S5W5_CHATD -          elys                 -                8.9    1.6   1.4       8.4    1.7   1.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033870 PE=4 SV=1
tr|G0S6T8|G0S6T8_CHATD -          elys                 -                  9    1.6   1.6        12    1.3   1.6   1.1   1   0   0   1   1   1   0 Putative anaphase spindle elongation protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026840 PE=4 SV=1
tr|G0S386|G0S386_CHATD -          elys                 -                  9    1.6  28.8        11    1.4  28.8   1.0   1   0   0   1   1   1   0 EVE domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020080 PE=4 SV=1
tr|G0SD59|G0SD59_CHATD -          elys                 -                9.1    1.6  14.2        19    0.5  14.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059050 PE=3 SV=1
tr|G0SF62|G0SF62_CHATD -          elys                 -                9.1    1.6   8.2        10    1.4   8.2   1.0   1   0   0   1   1   1   0 GPI-anchored domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060930 PE=4 SV=1
tr|G0S151|G0S151_CHATD -          elys                 -                9.4    1.6   3.2        12    1.2   3.2   1.1   1   0   0   1   1   1   0 Putative transmembrane component protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012360 PE=4 SV=1
tr|G0SDC4|G0SDC4_CHATD -          elys                 -                9.6    1.5   1.9        12    1.2   1.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051280 PE=4 SV=1
tr|G0SDQ0|G0SDQ0_CHATD -          elys                 -                9.7    1.5   6.5        11    1.3   6.5   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052570 PE=4 SV=1
tr|G0SDC7|G0SDC7_CHATD -          elys                 -                9.7    1.5   3.3        11    1.3   3.3   1.2   1   0   0   1   1   1   0 Altered inheritance of mitochondria protein 24, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051310 PE=3 SV=1
tr|G0S5L5|G0S5L5_CHATD -          elys                 -                9.8    1.5   0.2       8.7    1.7   0.2   1.0   1   0   0   1   1   1   0 Cysteine-rich PDZ-binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024680 PE=3 SV=1
tr|G0RZC1|G0RZC1_CHATD -          elys                 -                9.8    1.5  14.8        11    1.4  14.8   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002440 PE=4 SV=1
tr|G0SC17|G0SC17_CHATD -          elys                 -                9.8    1.5  27.6        13    1.1  27.6   1.0   1   0   0   1   1   1   0 Histone deacetylase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0055570 PE=3 SV=1
tr|G0RYQ5|G0RYQ5_CHATD -          elys                 -                9.9    1.5   3.9        11    1.3   3.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007520 PE=4 SV=1
tr|G0S1L4|G0S1L4_CHATD -          elys                 -                9.9    1.5   1.2        14    1.0   1.2   1.1   1   0   0   1   1   1   0 26S proteasome regulatory subunit rpn5-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014020 PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/elys.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/elys.txt --max --cpu 8 hmm_profiles_from_msa/elys.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 09:44:46 2022
# [ok]
