#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S235|NDC1_CHATD   -          ndc1                 -           3.7e-132  440.3  13.9   1.2e-85  286.7   1.5   3.1   2   1   0   2   2   2   2 Nucleoporin NDC1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NDC1 PE=3 SV=1
tr|G0SDF7|G0SDF7_CHATD -          ndc1                 -                1.5    5.8   0.0       2.6    5.0   0.0   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051620 PE=4 SV=1
tr|G0S4X0|G0S4X0_CHATD -          ndc1                 -                1.5    5.8   0.4       2.2    5.3   0.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031960 PE=4 SV=1
tr|G0SI68|G0SI68_CHATD -          ndc1                 -                1.8    5.6   3.2       2.8    4.9   3.2   1.3   1   0   0   1   1   1   0 Mitochondrial import inner membrane translocase subunit TIM50 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074700 PE=3 SV=1
tr|G0SAC5|G0SAC5_CHATD -          ndc1                 -                2.1    5.3   0.0       4.4    4.3   0.0   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041790 PE=4 SV=1
tr|G0SC40|G0SC40_CHATD -          ndc1                 -                2.8    4.9   6.1       4.1    4.3   6.1   1.1   1   0   0   1   1   1   0 UBX domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0055830 PE=4 SV=1
tr|G0S0D3|G0S0D3_CHATD -          ndc1                 -                2.9    4.8   0.8       4.6    4.2   0.8   1.2   1   0   0   1   1   1   0 Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009610 PE=3 SV=1
tr|G0S8M4|G0S8M4_CHATD -          ndc1                 -                3.2    4.7   1.7       9.4    3.2   0.3   2.1   2   0   0   2   2   2   0 Reticulon-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038600 PE=4 SV=1
tr|G0S732|G0S732_CHATD -          ndc1                 -                3.4    4.6   0.6       5.5    3.9   0.6   1.2   1   0   0   1   1   1   0 Brix domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035970 PE=4 SV=1
tr|G0SI07|G0SI07_CHATD -          ndc1                 -                3.6    4.5   0.1       7.2    3.5   0.0   1.5   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074050 PE=4 SV=1
tr|G0S5R0|G0S5R0_CHATD -          ndc1                 -                3.7    4.5   4.4       6.3    3.8   4.4   1.3   1   0   0   1   1   1   0 Pre-rRNA-processing protein RIX1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025150 PE=3 SV=1
tr|G0S759|G0S759_CHATD -          ndc1                 -                3.9    4.4   0.8       5.4    4.0   0.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027530 PE=4 SV=1
tr|G0RXW9|G0RXW9_CHATD -          ndc1                 -                3.9    4.4   0.5       4.9    4.1   0.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004570 PE=4 SV=1
tr|G0RZR2|G0RZR2_CHATD -          ndc1                 -                4.1    4.3   3.1       6.6    3.7   3.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003870 PE=4 SV=1
tr|G0S5X0|G0S5X0_CHATD -          ndc1                 -                4.3    4.3   1.5       5.2    4.0   1.5   1.1   1   0   0   1   1   1   0 Dolichol phosphate-mannose biosynthesis regulatory protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025220 PE=3 SV=1
tr|G0S589|G0S589_CHATD -          ndc1                 -                4.5    4.2   3.4       7.9    3.4   3.4   1.3   1   0   0   1   1   1   0 DASH complex subunit DAD4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032660 PE=1 SV=1
tr|G0S357|G0S357_CHATD -          ndc1                 -                4.8    4.1   0.7         7    3.6   0.7   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019750 PE=4 SV=1
tr|G0S482|G0S482_CHATD -          ndc1                 -                4.9    4.1   1.5       9.2    3.2   1.5   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031050 PE=4 SV=1
tr|G0S1C2|G0S1C2_CHATD -          ndc1                 -                5.1    4.0  14.9       8.2    3.4  14.9   1.3   1   0   0   1   1   1   0 UBX domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013080 PE=4 SV=1
tr|G0SHV2|G0SHV2_CHATD -          ndc1                 -                5.7    3.9   0.3       8.7    3.3   0.3   1.2   1   0   0   1   1   1   0 DNA repair exonuclease-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073480 PE=3 SV=1
tr|G0SEQ0|G0SEQ0_CHATD -          ndc1                 -                5.9    3.8   0.1        10    3.0   0.1   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064540 PE=3 SV=1
tr|G0SGH3|G0SGH3_CHATD -          ndc1                 -                6.3    3.7   2.3       5.2    4.0   0.1   1.9   2   0   0   2   2   2   0 Structural maintenance of chromosomes protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066330 PE=1 SV=1
tr|G0SHL3|G0SHL3_CHATD -          ndc1                 -                6.7    3.7   2.8       5.8    3.9   1.4   1.5   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070440 PE=4 SV=1
tr|G0S0I7|G0S0I7_CHATD -          ndc1                 -                  7    3.6   0.4       9.7    3.1   0.4   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010160 PE=4 SV=1
tr|G0S6P1|G0S6P1_CHATD -          ndc1                 -                7.2    3.5   1.0       6.3    3.7   1.0   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035080 PE=4 SV=1
tr|G0S7T1|G0S7T1_CHATD -          ndc1                 -                7.3    3.5   5.5       9.4    3.2   5.5   1.1   1   0   0   1   1   1   0 Putative ubiquitin carrier protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028710 PE=3 SV=1
tr|G0SDF2|G0SDF2_CHATD -          ndc1                 -                7.4    3.5   5.8        13    2.7   5.8   1.4   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051570 PE=4 SV=1
tr|G0SHI1|G0SHI1_CHATD -          ndc1                 -                7.5    3.5   4.3        10    3.1   4.3   1.1   1   0   0   1   1   1   0 Putative chromatin binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070100 PE=1 SV=1
tr|G0S2S0|G0S2S0_CHATD -          ndc1                 -                7.5    3.5   1.0        18    2.3   1.0   1.6   1   0   0   1   1   1   0 Protoheme IX farnesyltransferase, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018240 PE=3 SV=1
tr|G0SFP7|G0SFP7_CHATD -          ndc1                 -                7.5    3.5   3.1         8    3.4   3.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071630 PE=4 SV=1
tr|G0SDV0|G0SDV0_CHATD -          ndc1                 -                7.7    3.4   1.3        11    3.0   1.3   1.1   1   0   0   1   1   1   0 MICOS complex subunit OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053080 PE=4 SV=1
tr|G0SGF6|G0SGF6_CHATD -          ndc1                 -                  8    3.4   0.6        11    2.9   0.6   1.1   1   0   0   1   1   1   0 Ubiquitin conjugating enzyme-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066150 PE=4 SV=1
tr|G0S803|G0S803_CHATD -          ndc1                 -                8.2    3.4   2.5        20    2.1   2.5   1.8   1   0   0   1   1   1   0 SUN domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037630 PE=4 SV=1
tr|G0S2Y1|G0S2Y1_CHATD -          ndc1                 -                8.2    3.4   0.1        12    2.8   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018900 PE=4 SV=1
tr|G0SAP7|G0SAP7_CHATD -          ndc1                 -                8.4    3.3   4.0       8.9    3.2   0.9   2.1   2   0   0   2   2   2   0 Putative cytochrome c oxidase assembly protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043040 PE=3 SV=1
tr|G0S720|G0S720_CHATD -          ndc1                 -                8.4    3.3   1.1        12    2.8   1.1   1.1   1   0   0   1   1   1   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035850 PE=4 SV=1
tr|G0RXY9|G0RXY9_CHATD -          ndc1                 -                8.5    3.3   6.0        16    2.4   6.0   1.3   1   0   0   1   1   1   0 Pseudouridylate synthase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004770 PE=3 SV=1
tr|G0RY99|G0RY99_CHATD -          ndc1                 -                8.8    3.3   4.2        15    2.5   4.2   1.2   1   0   0   1   1   1   0 Type 2C protein phosphatase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0005940 PE=4 SV=1
tr|G0SGH8|G0SGH8_CHATD -          ndc1                 -                9.2    3.2   0.0        11    2.9   0.0   1.1   1   0   0   1   1   1   0 60S ribosomal protein L12-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066380 PE=1 SV=1
tr|G0S8Y6|G0S8Y6_CHATD -          ndc1                 -                9.2    3.2   2.5        14    2.6   2.5   1.2   1   0   0   1   1   1   0 Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=COQ3 PE=3 SV=1
tr|G0SAV5|G0SAV5_CHATD -          ndc1                 -                9.2    3.2   1.5        18    2.3   1.5   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047920 PE=3 SV=1
tr|G0S0T0|G0S0T0_CHATD -          ndc1                 -                9.5    3.2   4.1        13    2.7   4.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011120 PE=4 SV=1
tr|G0S6E5|G0S6E5_CHATD -          ndc1                 -                9.6    3.1   3.2        16    2.4   3.2   1.3   1   0   0   1   1   1   0 Exocyst complex component EXO84 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034630 PE=3 SV=1
tr|G0S719|G0S719_CHATD -          ndc1                 -                9.6    3.1  11.5        16    2.4  11.5   1.4   1   0   0   1   1   1   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035840 PE=4 SV=1
tr|G0RZ94|G0RZ94_CHATD -          ndc1                 -                9.8    3.1   0.4        17    2.3   0.4   1.3   1   0   0   1   1   1   0 Nifu-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002160 PE=3 SV=1
tr|G0SA90|G0SA90_CHATD -          ndc1                 -                9.9    3.1   1.3        17    2.3   1.3   1.3   1   0   0   1   1   1   0 Putative multidrug protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041410 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/ndc1.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/ndc1.txt --max --cpu 8 hmm_profiles_from_msa/ndc1.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 09:47:03 2022
# [ok]
