#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0SA56|MLP1_CHATD   -          TPR_MLP1_2           PF07926.9    3.4e-38  129.3  32.8   3.4e-38  129.3  32.8  19.9   7   4  12  19  19  13   5 Protein MLP1 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MLP1 PE=3 SV=1
tr|G0S0U9|G0S0U9_CHATD -          TPR_MLP1_2           PF07926.9       0.63    8.8 174.8      0.19   10.5  19.0  10.6   3   2   8  11  11  11   0 GRIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011310 PE=4 SV=1
tr|G0SEV4|G0SEV4_CHATD -          TPR_MLP1_2           PF07926.9       0.91    8.3   6.7       2.1    7.1   0.4   2.6   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059830 PE=4 SV=1
tr|G0S1Y3|G0S1Y3_CHATD -          TPR_MLP1_2           PF07926.9       0.94    8.3  19.4       4.3    6.1  19.0   2.1   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015280 PE=4 SV=1
tr|G0S9S3|G0S9S3_CHATD -          TPR_MLP1_2           PF07926.9        1.4    7.7  48.6     0.046   12.5  19.6   3.3   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046970 PE=4 SV=1
tr|G0S8K3|G0S8K3_CHATD -          TPR_MLP1_2           PF07926.9        1.5    7.6  18.2      0.16   10.8   8.2   2.5   1   1   2   3   3   3   0 Endocytosis protein 3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038390 PE=3 SV=1
tr|G0S064|G0S064_CHATD -          TPR_MLP1_2           PF07926.9        1.6    7.5 113.0       1.2    7.9  24.1   7.2   3   2   5   8   8   8   0 TMF_TATA_bd domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008890 PE=4 SV=1
tr|G0S7M6|G0S7M6_CHATD -          TPR_MLP1_2           PF07926.9        3.1    6.6  22.9      0.82    8.4  12.0   2.7   1   1   0   2   2   2   0 Putative rho guanyl-nucleotide exchange factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036870 PE=4 SV=1
tr|G0S8W8|G0S8W8_CHATD -          TPR_MLP1_2           PF07926.9        3.1    6.6  54.2       0.7    8.7  20.1   3.9   3   1   0   3   3   3   0 Kinetochore protein NDC80 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043700 PE=3 SV=1
tr|G0S3L4|G0S3L4_CHATD -          TPR_MLP1_2           PF07926.9        3.6    6.4  38.0         2    7.2   8.4   4.2   2   1   2   4   4   4   0 Nuclear distribution protein nudE-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021680 PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF07926.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_unmasked/CTHE/mtor.txt --cpu 8 hmm_profiles/PF07926.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 12:24:35 2022
# [ok]
